id,title,publisher,genre
1,Valiant,Fleetway,Action/Adventure
2,Victor,IPC Magazines,Action/Adventure/War
3,Lion,IPC Magazines,Action/Adventure/War/Science Fiction/Information
4,Battle,IPC Magazines,Action/Adventure/War
5,2000AD,IPC Magazines,Thriller/Science Fiction/Myth/History
6,Warlord,IPC Magazines,War
7,Eagle,IPC Magazines,Science Fiction/Thriller/Adventure
8,Transformers UK,Marvel,Science Fiction/Action
